establecimiento,año,ha_perdida,ha_perdida_2001_2023,ha_perdida_2020_2023
398643,2001,1.1254934936523437,11.64,0.0
398643,2002,0.007567153033088235,11.64,0.0
398643,2003,0.9080571411132813,11.64,0.0
398643,2004,7.498123644062116,11.64,0.0
398643,2005,0.4823518432617187,11.64,0.0
398643,2006,0.0,11.64,0.0
398643,2007,0.0,11.64,0.0
398643,2008,1.607891101074219,11.64,0.0
398643,2009,0.0,11.64,0.0
398643,2010,0.0,11.64,0.0
398643,2011,0.0,11.64,0.0
398643,2012,0.0,11.64,0.0
398643,2013,0.0,11.64,0.0
398643,2014,0.0,11.64,0.0
398643,2015,0.006620748219209559,11.64,0.0
398643,2016,0.0,11.64,0.0
398643,2017,0.0,11.64,0.0
398643,2018,0.0,11.64,0.0
398643,2019,0.0,11.64,0.0
398643,2020,0.0,11.64,0.0
398643,2021,0.0,11.64,0.0
398643,2022,0.0,11.64,0.0
398643,2023,0.0,11.64,0.0
398645,2001,0.0,258.79,0.0
398645,2002,3.8415026794433587,258.79,0.0
398645,2003,5.922661950683594,258.79,0.0
398645,2004,222.6913333000406,258.79,0.0
398645,2005,18.903661671094692,258.79,0.0
398645,2006,1.2806156799316408,258.79,0.0
398645,2007,0.0,258.79,0.0
398645,2008,3.0254151489257826,258.79,0.0
398645,2009,2.4011467773437505,258.79,0.0
398645,2010,0.0,258.79,0.0
398645,2011,0.08004044189453124,258.79,0.0
398645,2012,0.000627769655713848,258.79,0.0
398645,2013,0.0,258.79,0.0
398645,2014,0.0,258.79,0.0
398645,2015,0.0,258.79,0.0
398645,2016,0.6402529296874999,258.79,0.0
398645,2017,0.0,258.79,0.0
398645,2018,0.0,258.79,0.0
398645,2019,0.0,258.79,0.0
398645,2020,0.0,258.79,0.0
398645,2021,0.0,258.79,0.0
398645,2022,0.0,258.79,0.0
398645,2023,0.0,258.79,0.0
398646,2001,0.36505546085133267,65.45,0.0
398646,2002,0.0,65.45,0.0
398646,2003,0.6360274080164292,65.45,0.0
398646,2004,52.811029612893414,65.45,0.0
398646,2005,4.459837433028873,65.45,0.0
398646,2006,0.0,65.45,0.0
398646,2007,0.0,65.45,0.0
398646,2008,0.24034225435144763,65.45,0.0
398646,2009,0.079906787109375,65.45,0.0
398646,2010,0.10090045369466147,65.45,0.0
398646,2011,2.98666872939166,65.45,0.0
398646,2012,3.1764991112084484,65.45,0.0
398646,2013,0.35716422121534164,65.45,0.0
398646,2014,0.07989743041992188,65.45,0.0
398646,2015,0.15978214111328126,65.45,0.0
398646,2016,0.0,65.45,0.0
398646,2017,0.0,65.45,0.0
398646,2018,0.0,65.45,0.0
398646,2019,0.0,65.45,0.0
398646,2020,0.0,65.45,0.0
398646,2021,0.0,65.45,0.0
398646,2022,0.0,65.45,0.0
398646,2023,0.0,65.45,0.0
398652,2001,0.044190060532513786,0.68,0.0
398652,2002,0.23980353393554688,0.68,0.0
398652,2003,0.07993034057617188,0.68,0.0
398652,2004,0.0,0.68,0.0
398652,2005,0.0,0.68,0.0
398652,2006,0.0,0.68,0.0
398652,2007,0.0,0.68,0.0
398652,2008,0.0,0.68,0.0
398652,2009,0.3115923198625153,0.68,0.0
398652,2010,0.0,0.68,0.0
398652,2011,0.0,0.68,0.0
398652,2012,0.0,0.68,0.0
398652,2013,0.0,0.68,0.0
398652,2014,0.0,0.68,0.0
398652,2015,0.0,0.68,0.0
398652,2016,0.0,0.68,0.0
398652,2017,0.0,0.68,0.0
398652,2018,0.0,0.68,0.0
398652,2019,0.0,0.68,0.0
398652,2020,0.0,0.68,0.0
398652,2021,0.0,0.68,0.0
398652,2022,0.0,0.68,0.0
398652,2023,0.0,0.68,0.0
398654,2001,0.08043360595703125,16.81,1.66
398654,2002,0.08041649169921875,16.81,1.66
398654,2003,0.0,16.81,1.66
398654,2004,1.0454298889160156,16.81,1.66
398654,2005,0.0,16.81,1.66
398654,2006,0.0,16.81,1.66
398654,2007,0.0,16.81,1.66
398654,2008,4.66553562284582,16.81,1.66
398654,2009,0.0,16.81,1.66
398654,2010,9.260128962115118,16.81,1.66
398654,2011,0.0,16.81,1.66
398654,2012,0.0,16.81,1.66
398654,2013,0.0,16.81,1.66
398654,2014,0.0,16.81,1.66
398654,2015,0.0,16.81,1.66
398654,2016,0.0,16.81,1.66
