establecimiento,km2_protegidos_dentro,nombres_WDPA_intersectan,wdpa_mas_cercana,distancia_mas_cercana_m
733403,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,190048.58
733455,0.0,,Quebrada de Cafayate,94868.67
956485,0.0,,Los Sosa,42201.74
