establecimiento,año,ha_perdida,ha_perdida_2001_2023,ha_perdida_2020_2023
754028,2001,0.0,573.98,0.31
754028,2002,0.0,573.98,0.31
754028,2003,0.0,573.98,0.31
754028,2004,2.0989011593807447,573.98,0.31
754028,2005,255.60752827404593,573.98,0.31
754028,2006,115.39118887726377,573.98,0.31
754028,2007,28.602018252862642,573.98,0.31
754028,2008,162.80865854418118,573.98,0.31
754028,2009,0.0,573.98,0.31
754028,2010,4.774001643999885,573.98,0.31
754028,2011,4.3097345673684515,573.98,0.31
754028,2012,0.0,573.98,0.31
754028,2013,0.0,573.98,0.31
754028,2014,0.0,573.98,0.31
754028,2015,0.0,573.98,0.31
754028,2016,0.0,573.98,0.31
754028,2017,0.0,573.98,0.31
754028,2018,0.07886962890625,573.98,0.31
754028,2019,0.0,573.98,0.31
754028,2020,0.0,573.98,0.31
754028,2021,0.0,573.98,0.31
754028,2022,0.0,573.98,0.31
754028,2023,0.3136195621266084,573.98,0.31
755159,2001,1.851469139428232,168.59,0.0
755159,2002,0.0,168.59,0.0
755159,2003,0.0,168.59,0.0
755159,2004,0.4531835638547412,168.59,0.0
755159,2005,131.2240883450863,168.59,0.0
755159,2006,19.64990303411746,168.59,0.0
755159,2007,12.612381949774052,168.59,0.0
755159,2008,1.6013731731339997,168.59,0.0
755159,2009,0.0,168.59,0.0
755159,2010,1.2018938373161767,168.59,0.0
755159,2011,0.0,168.59,0.0
755159,2012,0.0,168.59,0.0
755159,2013,0.0,168.59,0.0
755159,2014,0.0,168.59,0.0
755159,2015,0.0,168.59,0.0
755159,2016,0.0,168.59,0.0
755159,2017,0.0,168.59,0.0
755159,2018,0.0,168.59,0.0
755159,2019,0.0,168.59,0.0
755159,2020,0.0,168.59,0.0
755159,2021,0.0,168.59,0.0
755159,2022,0.0,168.59,0.0
755159,2023,0.0,168.59,0.0
767801,2001,0.317906494140625,63.97,0.04
767801,2002,0.0,63.97,0.04
767801,2003,0.31793094482421874,63.97,0.04
767801,2004,0.30077958481732536,63.97,0.04
767801,2005,1.9951835132793356,63.97,0.04
767801,2006,2.361672352007697,63.97,0.04
767801,2007,5.489530370519303,63.97,0.04
767801,2008,1.6689482360839842,63.97,0.04
767801,2009,0.3179229248046875,63.97,0.04
767801,2010,2.702228692626954,63.97,0.04
767801,2011,0.24777356028837316,63.97,0.04
767801,2012,0.23841353759765627,63.97,0.04
767801,2013,0.0,63.97,0.04
767801,2014,10.937277381807212,63.97,0.04
767801,2015,28.451841473388672,63.97,0.04
767801,2016,7.78833005371094,63.97,0.04
767801,2017,0.0,63.97,0.04
767801,2018,0.0,63.97,0.04
767801,2019,0.7965809732354856,63.97,0.04
767801,2020,0.0,63.97,0.04
767801,2021,0.0,63.97,0.04
767801,2022,0.041763210927925856,63.97,0.04
767801,2023,0.0,63.97,0.04
792007,2001,1.9393179952464392,4.57,0.0
792007,2002,2.3414536119169345,4.57,0.0
792007,2003,0.0,4.57,0.0
792007,2004,0.09574690496706495,4.57,0.0
792007,2005,0.0,4.57,0.0
792007,2006,0.1967441474705116,4.57,0.0
792007,2007,0.0,4.57,0.0
792007,2008,0.0,4.57,0.0
792007,2009,0.0,4.57,0.0
792007,2010,0.0,4.57,0.0
792007,2011,0.0,4.57,0.0
792007,2012,0.0,4.57,0.0
792007,2013,0.0,4.57,0.0
792007,2014,0.0,4.57,0.0
792007,2015,0.0,4.57,0.0
792007,2016,0.0,4.57,0.0
792007,2017,0.0,4.57,0.0
792007,2018,0.0,4.57,0.0
792007,2019,0.0,4.57,0.0
792007,2020,0.0,4.57,0.0
792007,2021,0.0,4.57,0.0
792007,2022,0.0,4.57,0.0
792007,2023,0.0,4.57,0.0
792008,2001,0.0,2.83,0.0
792008,2002,0.0,2.83,0.0
792008,2003,0.0,2.83,0.0
792008,2004,0.30835911427217366,2.83,0.0
792008,2005,2.518504434910194,2.83,0.0
792008,2006,0.0,2.83,0.0
792008,2007,0.0,2.83,0.0
792008,2008,0.0,2.83,0.0
792008,2009,0.0,2.83,0.0
792008,2010,0.0,2.83,0.0
792008,2011,0.0,2.83,0.0
792008,2012,0.0,2.83,0.0
792008,2013,0.0,2.83,0.0
792008,2014,0.0,2.83,0.0
792008,2015,0.0,2.83,0.0
792008,2016,0.0,2.83,0.0
792008,2017,0.0,2.83,0.0
792008,2018,0.0,2.83,0.0
792008,2019,0.0,2.83,0.0
792008,2020,0.0,2.83,0.0
792008,2021,0.0,2.83,0.0
792008,2022,0.0,2.83,0.0
792008,2023,0.0,2.83,0.0
792009,2001,0.02036966610179228,211.16,0.0
792009,2002,0.0,211.16,0.0
792009,2003,0.0,211.16,0.0
792009,2004,88.04605011331024,211.16,0.0
792009,2005,105.36178023092815,211.16,0.0
792009,2006,17.70658525390623,211.16,0.0
792009,2007,0.0,211.16,0.0
792009,2008,0.021913815080231314,211.16,0.0
792009,2009,0.0,211.16,0.0
792009,2010,0.0,211.16,0.0
792009,2011,0.0,211.16,0.0
792009,2012,0.0,211.16,0.0
792009,2013,0.0,211.16,0.0
792009,2014,0.0,211.16,0.0
792009,2015,0.0,211.16,0.0
792009,2016,0.0,211.16,0.0
792009,2017,0.0,211.16,0.0
792009,2018,0.0,211.16,0.0
792009,2019,0.0,211.16,0.0
792009,2020,0.0,211.16,0.0
792009,2021,0.0,211.16,0.0
792009,2022,0.0,211.16,0.0
792009,2023,0.0,211.16,0.0
799241,2001,0.0,58.77,52.28
799241,2002,0.0,58.77,52.28
799241,2003,0.0,58.77,52.28
799241,2004,0.0,58.77,52.28
799241,2005,0.0,58.77,52.28
799241,2006,0.0,58.77,52.28
799241,2007,0.0,58.77,52.28
799241,2008,0.15775498046875,58.77,52.28
799241,2009,0.0,58.77,52.28
799241,2010,0.0,58.77,52.28
799241,2011,4.345862279986213,58.77,52.28
799241,2012,0.0,58.77,52.28
799241,2013,0.0,58.77,52.28
799241,2014,0.0,58.77,52.28
799241,2015,0.0,58.77,52.28
799241,2016,0.0,58.77,52.28
799241,2017,0.0,58.77,52.28
799241,2018,0.0,58.77,52.28
799241,2019,1.9914906517118562,58.77,52.28
799241,2020,52.214877077972,58.77,52.28
799241,2021,0.0631032470703125,58.77,52.28
799241,2022,0.0,58.77,52.28
799241,2023,0.0,58.77,52.28
809850,2001,0.0,100.09,0.0
809850,2002,0.0,100.09,0.0
809850,2003,85.27338959714442,100.09,0.0
809850,2004,9.657542324123014,100.09,0.0
809850,2005,1.6434820628446698,100.09,0.0
809850,2006,0.0,100.09,0.0
809850,2007,0.0,100.09,0.0
809850,2008,0.0,100.09,0.0
809850,2009,3.5152246563361658,100.09,0.0
809850,2010,0.0,100.09,0.0
809850,2011,0.0,100.09,0.0
809850,2012,0.0,100.09,0.0
809850,2013,0.0,100.09,0.0
809850,2014,0.0,100.09,0.0
809850,2015,0.0,100.09,0.0
809850,2016,0.0,100.09,0.0
809850,2017,0.0,100.09,0.0
809850,2018,0.0,100.09,0.0
809850,2019,0.0,100.09,0.0
809850,2020,0.0,100.09,0.0
809850,2021,0.0,100.09,0.0
809850,2022,0.0,100.09,0.0
809850,2023,0.0,100.09,0.0
809961,2001,2.0492256329704728,213.42,2.17
809961,2002,0.157507763671875,213.42,2.17
809961,2003,49.27218576765456,213.42,2.17
809961,2004,5.781696867029529,213.42,2.17
809961,2005,72.36402477282932,213.42,2.17
809961,2006,19.410345011464972,213.42,2.17
809961,2007,4.724936627197269,213.42,2.17
809961,2008,57.18242625031119,213.42,2.17
809961,2009,0.1575024353027344,213.42,2.17
809961,2010,0.07875121459960938,213.42,2.17
809961,2011,0.07875081787109375,213.42,2.17
809961,2012,0.0,213.42,2.17
809961,2013,0.0,213.42,2.17
809961,2014,0.0,213.42,2.17
809961,2015,0.0,213.42,2.17
809961,2016,0.0,213.42,2.17
809961,2017,0.0,213.42,2.17
809961,2018,0.0,213.42,2.17
809961,2019,0.0,213.42,2.17
809961,2020,2.167014310829312,213.42,2.17
809961,2021,0.0,213.42,2.17
809961,2022,0.0,213.42,2.17
809961,2023,0.0,213.42,2.17
811455,2001,0.0,0.0,0.0
811455,2002,0.0,0.0,0.0
811455,2003,0.0,0.0,0.0
811455,2004,0.0,0.0,0.0
811455,2005,0.0,0.0,0.0
811455,2006,0.0,0.0,0.0
811455,2007,0.0,0.0,0.0
811455,2008,0.0,0.0,0.0
811455,2009,0.0,0.0,0.0
811455,2010,0.0,0.0,0.0
811455,2011,0.0,0.0,0.0
811455,2012,0.0,0.0,0.0
811455,2013,0.0,0.0,0.0
811455,2014,0.0,0.0,0.0
811455,2015,0.0,0.0,0.0
811455,2016,0.0,0.0,0.0
811455,2017,0.0,0.0,0.0
811455,2018,0.0,0.0,0.0
811455,2019,0.0,0.0,0.0
811455,2020,0.0,0.0,0.0
811455,2021,0.0,0.0,0.0
811455,2022,0.0,0.0,0.0
811455,2023,0.0,0.0,0.0
813783,2001,0.0,40.58,0.0
813783,2002,0.0,40.58,0.0
813783,2003,0.0,40.58,0.0
813783,2004,1.0242298767089844,40.58,0.0
813783,2005,0.3151534912109375,40.58,0.0
813783,2006,27.890563861083944,40.58,0.0
813783,2007,0.0,40.58,0.0
813783,2008,0.23635787353515625,40.58,0.0
813783,2009,7.248659350585934,40.58,0.0
813783,2010,0.4727258056640624,40.58,0.0
813783,2011,3.387975848388671,40.58,0.0
813783,2012,0.0,40.58,0.0
813783,2013,0.0,40.58,0.0
813783,2014,0.0,40.58,0.0
813783,2015,0.0,40.58,0.0
813783,2016,0.0,40.58,0.0
813783,2017,0.0,40.58,0.0
813783,2018,0.0,40.58,0.0
813783,2019,0.0,40.58,0.0
813783,2020,0.0,40.58,0.0
813783,2021,0.0,40.58,0.0
813783,2022,0.0,40.58,0.0
813783,2023,0.0,40.58,0.0
814302,2001,0.0,88.73,22.77
814302,2002,0.0,88.73,22.77
814302,2003,0.0,88.73,22.77
814302,2004,16.901223514188874,88.73,22.77
814302,2005,33.04998261591895,88.73,22.77
814302,2006,0.0,88.73,22.77
814302,2007,0.0,88.73,22.77
814302,2008,1.1243797042068782,88.73,22.77
814302,2009,11.247542500957408,88.73,22.77
814302,2010,1.4577187627575448,88.73,22.77
814302,2011,0.5523016418457032,88.73,22.77
814302,2012,0.8480733071480545,88.73,22.77
814302,2013,0.0,88.73,22.77
814302,2014,0.0,88.73,22.77
814302,2015,0.0,88.73,22.77
814302,2016,0.0,88.73,22.77
814302,2017,0.7768935821174172,88.73,22.77
814302,2018,0.0,88.73,22.77
814302,2019,0.0,88.73,22.77
814302,2020,9.38889158325195,88.73,22.77
814302,2021,4.044204175259461,88.73,22.77
814302,2022,3.815305115775314,88.73,22.77
814302,2023,5.522047958050898,88.73,22.77
839285,2001,0.0,458.65,22.49
839285,2002,4.495089807128904,458.65,22.49
839285,2003,0.332103247309666,458.65,22.49
839285,2004,2.405161526525161,458.65,22.49
839285,2005,80.88060391146757,458.65,22.49
839285,2006,69.59711700949273,458.65,22.49
839285,2007,0.0,458.65,22.49
839285,2008,53.177130515782935,458.65,22.49
839285,2009,0.0,458.65,22.49
839285,2010,19.195879866177435,458.65,22.49
839285,2011,68.90755042671928,458.65,22.49
839285,2012,25.2335713073731,458.65,22.49
839285,2013,12.343228949070355,458.65,22.49
839285,2014,1.2616152587890626,458.65,22.49
839285,2015,8.673642358398421,458.65,22.49
839285,2016,5.125762042236329,458.65,22.49
839285,2017,43.922560070800856,458.65,22.49
839285,2018,24.997022900390597,458.65,22.49
839285,2019,15.613037084960931,458.65,22.49
839285,2020,22.07868263549805,458.65,22.49
839285,2021,0.3154049987792969,458.65,22.49
839285,2022,0.0,458.65,22.49
839285,2023,0.0989489813112745,458.65,22.49
840503,2001,0.157562451171875,290.15,0.0
840503,2002,0.0,290.15,0.0
840503,2003,0.0,290.15,0.0
840503,2004,1.3392954040527343,290.15,0.0
840503,2005,1.667091652137906,290.15,0.0
840503,2006,83.27106396829048,290.15,0.0
840503,2007,19.62206855830173,290.15,0.0
840503,2008,23.263899320068344,290.15,0.0
840503,2009,42.71732111026538,290.15,0.0
840503,2010,0.8856744418753834,290.15,0.0
840503,2011,0.0,290.15,0.0
840503,2012,117.22682094726582,290.15,0.0
840503,2013,0.0,290.15,0.0
840503,2014,0.0,290.15,0.0
840503,2015,0.0,290.15,0.0
840503,2016,0.0,290.15,0.0
840503,2017,0.0,290.15,0.0
840503,2018,0.0,290.15,0.0
840503,2019,0.0,290.15,0.0
840503,2020,0.0,290.15,0.0
840503,2021,0.0,290.15,0.0
840503,2022,0.0,290.15,0.0
840503,2023,0.0,290.15,0.0
840729,2001,0.22946729726753984,174.91,0.0
840729,2002,0.0,174.91,0.0
840729,2003,0.15750322265625,174.91,0.0
840729,2004,0.0,174.91,0.0
840729,2005,1.6269950800398283,174.91,0.0
840729,2006,0.1998357599954044,174.91,0.0
840729,2007,45.361812219238274,174.91,0.0
840729,2008,14.231437693804557,174.91,0.0
840729,2009,15.042504217529267,174.91,0.0
840729,2010,81.23880931171507,174.91,0.0
840729,2011,14.254598388671864,174.91,0.0
840729,2012,2.5692162853285856,174.91,0.0
840729,2013,0.0,174.91,0.0
840729,2014,0.0,174.91,0.0
840729,2015,0.0,174.91,0.0
840729,2016,0.0,174.91,0.0
840729,2017,0.0,174.91,0.0
840729,2018,0.0,174.91,0.0
840729,2019,0.0,174.91,0.0
840729,2020,0.0,174.91,0.0
840729,2021,0.0,174.91,0.0
840729,2022,0.0,174.91,0.0
840729,2023,0.0,174.91,0.0
841508,2001,26.210024753800973,39.56,0.0
841508,2002,0.0,39.56,0.0
841508,2003,1.2446938648179,39.56,0.0
841508,2004,0.0,39.56,0.0
841508,2005,0.15933148193359375,39.56,0.0
841508,2006,0.0,39.56,0.0
841508,2007,3.4257948791503914,39.56,0.0
841508,2008,0.0,39.56,0.0
841508,2009,0.0,39.56,0.0
841508,2010,0.0,39.56,0.0
841508,2011,8.524818005371085,39.56,0.0
841508,2012,0.0,39.56,0.0
841508,2013,0.0,39.56,0.0
841508,2014,0.0,39.56,0.0
841508,2015,0.0,39.56,0.0
841508,2016,0.0,39.56,0.0
841508,2017,0.0,39.56,0.0
841508,2018,0.0,39.56,0.0
841508,2019,0.0,39.56,0.0
841508,2020,0.0,39.56,0.0
841508,2021,0.0,39.56,0.0
841508,2022,0.0,39.56,0.0
841508,2023,0.0,39.56,0.0
843231,2001,0.0,917.16,784.36
843231,2002,6.32007759399414,917.16,784.36
843231,2003,0.7109582336425782,917.16,784.36
843231,2004,19.168540576842066,917.16,784.36
843231,2005,5.053622998046875,917.16,784.36
843231,2006,0.15676333979587928,917.16,784.36
843231,2007,0.0,917.16,784.36
843231,2008,0.7900640502929689,917.16,784.36
843231,2009,0.0,917.16,784.36
843231,2010,0.7900835815429688,917.16,784.36
843231,2011,4.346897376852595,917.16,784.36
843231,2012,3.749636887207032,917.16,784.36
843231,2013,0.7602248454015396,917.16,784.36
843231,2014,9.875013653564446,917.16,784.36
843231,2015,0.15799495849609374,917.16,784.36
843231,2016,4.345698582667932,917.16,784.36
843231,2017,13.944660857771328,917.16,784.36
843231,2018,52.93468512611532,917.16,784.36
843231,2019,9.698171460918351,917.16,784.36
843231,2020,2.0299189033777574,917.16,784.36
843231,2021,91.66361418825579,917.16,784.36
843231,2022,280.4490671888623,917.16,784.36
843231,2023,410.2146004574599,917.16,784.36
843323,2001,0.35364185197418807,13.63,0.0
843323,2002,1.091372019354128,13.63,0.0
843323,2003,0.0,13.63,0.0
843323,2004,0.6289445678710937,13.63,0.0
843323,2005,5.953972172444658,13.63,0.0
843323,2006,1.3747301710420494,13.63,0.0
843323,2007,0.6288682250976563,13.63,0.0
843323,2008,0.703876945106656,13.63,0.0
843323,2009,0.7304172942516851,13.63,0.0
843323,2010,0.0,13.63,0.0
843323,2011,0.5303181553260953,13.63,0.0
843323,2012,1.630419645254097,13.63,0.0
843323,2013,0.0,13.63,0.0
843323,2014,0.0,13.63,0.0
843323,2015,0.0,13.63,0.0
843323,2016,0.0,13.63,0.0
843323,2017,0.0,13.63,0.0
843323,2018,0.0,13.63,0.0
843323,2019,0.0,13.63,0.0
843323,2020,0.0,13.63,0.0
843323,2021,0.0,13.63,0.0
843323,2022,0.0,13.63,0.0
843323,2023,0.0,13.63,0.0
843330,2001,0.0,16.87,0.0
843330,2002,0.0,16.87,0.0
843330,2003,0.0,16.87,0.0
843330,2004,0.0,16.87,0.0
843330,2005,14.809483242187493,16.87,0.0
843330,2006,0.0,16.87,0.0
843330,2007,0.0,16.87,0.0
843330,2008,0.13747464920343136,16.87,0.0
843330,2009,0.0,16.87,0.0
843330,2010,0.0,16.87,0.0
843330,2011,1.9221886729281559,16.87,0.0
843330,2012,0.0,16.87,0.0
843330,2013,0.0,16.87,0.0
843330,2014,0.0,16.87,0.0
843330,2015,0.0,16.87,0.0
843330,2016,0.0,16.87,0.0
843330,2017,0.0,16.87,0.0
843330,2018,0.0,16.87,0.0
843330,2019,0.0,16.87,0.0
843330,2020,0.0,16.87,0.0
843330,2021,0.0,16.87,0.0
843330,2022,0.0,16.87,0.0
843330,2023,0.0,16.87,0.0
848583,2001,0.0,0.0,0.0
848583,2002,0.0,0.0,0.0
848583,2003,0.0,0.0,0.0
848583,2004,0.0,0.0,0.0
848583,2005,0.0,0.0,0.0
848583,2006,0.0,0.0,0.0
848583,2007,0.0,0.0,0.0
848583,2008,0.0,0.0,0.0
848583,2009,0.0,0.0,0.0
848583,2010,0.0,0.0,0.0
848583,2011,0.0,0.0,0.0
848583,2012,0.0,0.0,0.0
848583,2013,0.0,0.0,0.0
848583,2014,0.0,0.0,0.0
848583,2015,0.0,0.0,0.0
848583,2016,0.0,0.0,0.0
848583,2017,0.0,0.0,0.0
848583,2018,0.0,0.0,0.0
848583,2019,0.0,0.0,0.0
848583,2020,0.0,0.0,0.0
848583,2021,0.0,0.0,0.0
848583,2022,0.0,0.0,0.0
848583,2023,0.0,0.0,0.0
848588,2001,0.0,5.14,0.0
848588,2002,0.07875950927734375,5.14,0.0
848588,2003,5.059759540680527,5.14,0.0
848588,2004,0.0,5.14,0.0
848588,2005,0.0,5.14,0.0
848588,2006,0.0,5.14,0.0
848588,2007,0.0,5.14,0.0
848588,2008,0.0,5.14,0.0
848588,2009,0.0,5.14,0.0
848588,2010,0.0,5.14,0.0
848588,2011,0.0,5.14,0.0
848588,2012,0.0,5.14,0.0
848588,2013,0.0,5.14,0.0
848588,2014,0.0,5.14,0.0
848588,2015,0.0,5.14,0.0
848588,2016,0.0,5.14,0.0
848588,2017,0.0,5.14,0.0
848588,2018,0.0,5.14,0.0
848588,2019,0.0,5.14,0.0
848588,2020,0.0,5.14,0.0
848588,2021,0.0,5.14,0.0
848588,2022,0.0,5.14,0.0
848588,2023,0.0,5.14,0.0
848589,2001,0.0,1.05,0.0
848589,2002,0.0,1.05,0.0
848589,2003,0.0,1.05,0.0
848589,2004,0.0,1.05,0.0
848589,2005,1.0132566771503524,1.05,0.0
848589,2006,0.0,1.05,0.0
848589,2007,0.0,1.05,0.0
848589,2008,0.0,1.05,0.0
848589,2009,0.0,1.05,0.0
848589,2010,0.0,1.05,0.0
848589,2011,0.032416146312040435,1.05,0.0
848589,2012,0.0,1.05,0.0
848589,2013,0.0,1.05,0.0
848589,2014,0.0,1.05,0.0
848589,2015,0.0,1.05,0.0
848589,2016,0.0,1.05,0.0
848589,2017,0.0,1.05,0.0
848589,2018,0.0,1.05,0.0
848589,2019,0.0,1.05,0.0
848589,2020,0.0,1.05,0.0
848589,2021,0.0,1.05,0.0
848589,2022,0.0,1.05,0.0
848589,2023,0.0,1.05,0.0
848591,2001,0.0,0.01,0.0
848591,2002,0.0,0.01,0.0
848591,2003,0.0,0.01,0.0
848591,2004,0.009267079072840073,0.01,0.0
848591,2005,0.0,0.01,0.0
848591,2006,0.0,0.01,0.0
848591,2007,0.0,0.01,0.0
848591,2008,0.0,0.01,0.0
848591,2009,0.0,0.01,0.0
848591,2010,0.0,0.01,0.0
848591,2011,0.0,0.01,0.0
848591,2012,0.0,0.01,0.0
848591,2013,0.0,0.01,0.0
848591,2014,0.0,0.01,0.0
848591,2015,0.0,0.01,0.0
848591,2016,0.0,0.01,0.0
848591,2017,0.0,0.01,0.0
848591,2018,0.0,0.01,0.0
848591,2019,0.0,0.01,0.0
848591,2020,0.0,0.01,0.0
848591,2021,0.0,0.01,0.0
848591,2022,0.0,0.01,0.0
848591,2023,0.0,0.01,0.0
848705,2001,0.0,0.0,0.0
848705,2002,0.0,0.0,0.0
848705,2003,0.0,0.0,0.0
848705,2004,0.0,0.0,0.0
848705,2005,0.0,0.0,0.0
848705,2006,0.0,0.0,0.0
848705,2007,0.0,0.0,0.0
848705,2008,0.0,0.0,0.0
848705,2009,0.0,0.0,0.0
848705,2010,0.0,0.0,0.0
848705,2011,0.0,0.0,0.0
848705,2012,0.0,0.0,0.0
848705,2013,0.0,0.0,0.0
848705,2014,0.0,0.0,0.0
848705,2015,0.0,0.0,0.0
848705,2016,0.0,0.0,0.0
848705,2017,0.0,0.0,0.0
848705,2018,0.0,0.0,0.0
848705,2019,0.0,0.0,0.0
848705,2020,0.0,0.0,0.0
848705,2021,0.0,0.0,0.0
848705,2022,0.0,0.0,0.0
848705,2023,0.0,0.0,0.0
849495,2001,86.42774284430996,994.88,0.0
849495,2002,17.418663464355465,994.88,0.0
849495,2003,131.39736116742253,994.88,0.0
849495,2004,481.1127146189271,994.88,0.0
849495,2005,245.03866943943495,994.88,0.0
849495,2006,0.0287459222053079,994.88,0.0
849495,2007,0.031215803246591605,994.88,0.0
849495,2008,3.8441415819355074,994.88,0.0
849495,2009,0.0,994.88,0.0
849495,2010,0.07881926879882813,994.88,0.0
849495,2011,28.793959146321672,994.88,0.0
849495,2012,0.7093548950195313,994.88,0.0
849495,2013,0.0,994.88,0.0
849495,2014,0.0,994.88,0.0
849495,2015,0.0,994.88,0.0
849495,2016,0.0,994.88,0.0
849495,2017,0.0,994.88,0.0
849495,2018,0.0,994.88,0.0
849495,2019,0.0,994.88,0.0
849495,2020,0.0,994.88,0.0
849495,2021,0.0,994.88,0.0
849495,2022,0.0,994.88,0.0
849495,2023,0.0,994.88,0.0
852423,2001,0.0,10.63,1.42
852423,2002,0.0,10.63,1.42
852423,2003,0.0,10.63,1.42
852423,2004,0.0,10.63,1.42
852423,2005,0.0,10.63,1.42
852423,2006,2.3132892214786307,10.63,1.42
852423,2007,2.916942382261987,10.63,1.42
852423,2008,0.03645060139973958,10.63,1.42
852423,2009,0.0,10.63,1.42
852423,2010,0.08494470509248622,10.63,1.42
852423,2011,0.0,10.63,1.42
852423,2012,0.07875694580078126,10.63,1.42
852423,2013,1.8114095092773441,10.63,1.42
852423,2014,0.39378609619140625,10.63,1.42
852423,2015,0.3150056579589844,10.63,1.42
852423,2016,0.7875822753906249,10.63,1.42
852423,2017,0.4725475830078125,10.63,1.42
852423,2018,0.0,10.63,1.42
852423,2019,0.0,10.63,1.42
852423,2020,0.0,10.63,1.42
852423,2021,0.708760546875,10.63,1.42
852423,2022,0.15751289672851562,10.63,1.42
852423,2023,0.5513027465820313,10.63,1.42
863351,2001,2.2122776611328128,1907.55,1407.17
863351,2002,16.430780132936956,1907.55,1407.17
863351,2003,0.5809604061590457,1907.55,1407.17
863351,2004,122.09370595198094,1907.55,1407.17
863351,2005,15.644431953124982,1907.55,1407.17
863351,2006,0.1579969055175781,1907.55,1407.17
863351,2007,0.4740411254882813,1907.55,1407.17
863351,2008,0.23727345873066022,1907.55,1407.17
863351,2009,67.62351525996182,1907.55,1407.17
863351,2010,23.202650066061558,1907.55,1407.17
863351,2011,1.289423142113779,1907.55,1407.17
863351,2012,5.687668878173828,1907.55,1407.17
863351,2013,7.508830508530551,1907.55,1407.17
863351,2014,36.167379763422865,1907.55,1407.17
863351,2015,46.138309912109335,1907.55,1407.17
863351,2016,26.226199049407334,1907.55,1407.17
863351,2017,128.62240148925758,1907.55,1407.17
863351,2018,0.07901046752929687,1907.55,1407.17
863351,2019,0.0,1907.55,1407.17
863351,2020,0.39504198608398433,1907.55,1407.17
863351,2021,303.3828378356905,1907.55,1407.17
863351,2022,686.1667741905342,1907.55,1407.17
863351,2023,417.22474681746246,1907.55,1407.17
868554,2001,0.052825526841107535,85.55,0.0
868554,2002,0.0,85.55,0.0
868554,2003,0.0,85.55,0.0
868554,2004,0.0,85.55,0.0
868554,2005,0.0,85.55,0.0
868554,2006,6.051502621926704,85.55,0.0
868554,2007,2.904805268363204,85.55,0.0
