establecimiento,km2_protegidos_dentro,nombres_WDPA_intersectan,wdpa_mas_cercana,distancia_mas_cercana_m
754028,0.0,,Isleta Linda,138129.4
755159,0.0,,Isleta Linda,117188.78
767801,0.0,,Sierra de San Javier,187039.19
792007,0.0,,Isleta Linda,74658.07
792008,0.0,,Isleta Linda,65957.95
792009,0.0,,Isleta Linda,65883.06
799241,0.0,,Isleta Linda,130203.43
809850,0.0,,Isleta Linda,92652.35
809961,0.0,,Isleta Linda,69427.06
811455,0.0,,Isleta Linda,100809.28
813783,0.0,,Isleta Linda,95047.42
814302,0.0,,Isleta Linda,92861.61
839285,0.0,,Isleta Linda,120846.28
840503,0.0,,Isleta Linda,100294.83
840729,0.0,,Isleta Linda,91272.56
841508,0.0,,Copo,123373.03
843231,0.0,,Isleta Linda,157404.32
843323,0.0,,Isleta Linda,113269.57
843330,0.0,,Isleta Linda,115734.84
848583,0.0,,Isleta Linda,86760.55
848588,0.0,,Isleta Linda,86242.46
848589,0.0,,Isleta Linda,73029.17
848591,0.0,,Isleta Linda,93386.44
848705,0.0,,Delta del Paraná,59361.82
849495,0.0,,Isleta Linda,128188.26
852423,0.0,,Isleta Linda,89288.62
863351,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,170243.96
868554,0.0,,Isleta Linda,91480.43
875544,0.0,,Isleta Linda,92292.78
877228,0.0,,Isleta Linda,99770.47
881131,0.0,,Isleta Linda,117803.92
881393,0.0,,Copo,127512.06
890139,0.0,,Isleta Linda,131679.34
893849,0.0,,Isleta Linda,150756.98
895293,0.0,,Isleta Linda,133513.01
896470,0.0,,Isleta Linda,122468.61
896471,0.0,,Isleta Linda,122525.79
907458,0.0,,Isleta Linda,98492.7
908621,0.0,,Isleta Linda,97111.29
909990,0.0,,Isleta Linda,140557.6
910022,0.0,,Isleta Linda,115454.42
915331,0.0,,Isleta Linda,98913.6
918499,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,67586.71
919517,0.0,,Isleta Linda,127809.48
919518,0.0,,Isleta Linda,129461.74
919727,0.0,,Isleta Linda,128331.32
919937,0.0,,Isleta Linda,130321.66
919941,0.0,,Isleta Linda,130738.03
920500,0.0,,Isleta Linda,129460.68
922490,0.0,,Isleta Linda,121188.81
922492,0.0,,Santa Ana,106585.18
922869,0.0,,Isleta Linda,99623.63
924742,0.0,,Isleta Linda,47610.0
924745,0.0,,Isleta Linda,47633.4
924746,0.0,,Isleta Linda,47800.06
941245,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,187730.28
