establecimiento,km2_protegidos_dentro,nombres_WDPA_intersectan,wdpa_mas_cercana,distancia_mas_cercana_m
519738,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,42894.89
636034,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,34114.34
636042,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,38313.74
636047,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,25237.68
636052,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,52335.13
636054,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,55996.01
636059,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,49669.71
636061,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,47777.69
636064,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,43193.01
636068,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,48342.57
636070,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,50225.06
658743,0.0,,La Quebrada,13908.13
661046,3.8715,Bañados del Río Dulce y Laguna de Mar Chiquita; Bañados del Río Dulce y Laguna de Mar Chiquita,Bañados del Río Dulce y Laguna de Mar Chiquita,0.0
661077,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,21792.33
663465,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,55028.31
701120,0.0,,Copo,123022.91
748309,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,48641.86
748313,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,51616.79
748327,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,54262.61
792907,0.0,,Isleta Linda,95858.78
793686,0.0,,Isleta Linda,166285.16
796865,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,50793.12
824861,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,56466.94
860888,0.0,,Copo,31854.7
863147,0.0,,Copo,73319.65
892496,0.0,,Pampa del Indio,85944.0
892507,0.0,,Copo,98723.91
907479,0.0,,Copo,27182.78
922551,0.0,,Isleta Linda,161027.19
953629,0.0,,Pampa del Indio,85938.55
953965,0.0,,Bañados del Río Dulce y Laguna de Mar Chiquita,56381.37
