establecimiento,km2_protegidos_dentro,nombres_WDPA_intersectan,wdpa_mas_cercana,distancia_mas_cercana_m
398302,0.0,,Sierra de San Javier,65705.2
398303,0.0,,Sierra de San Javier,62615.19
398305,0.0,,Sierra de San Javier,62708.19
398307,0.0,,Sierra de San Javier,67214.76
398308,0.0,,Sierra de San Javier,90251.4
398309,0.0,,Sierra de San Javier,51166.62
398758,0.0,,Sierra de San Javier,56601.1
398759,0.0,,Sierra de San Javier,60408.51
398760,0.0,,Sierra de San Javier,61064.48
398761,0.0,,Sierra de San Javier,61148.84
398763,0.0,,Sierra de San Javier,61161.75
398764,0.0,,Sierra de San Javier,59540.79
398765,0.0,,Sierra de San Javier,52512.33
398766,0.0,,Sierra de San Javier,50090.4
517144,0.0,,Sierra de San Javier,64663.43
550901,0.0,,Sierra de San Javier,50274.57
552307,0.0,,Sierra de San Javier,65249.18
649115,0.0,,Cumbres Calchaquies,96840.78
704661,0.0,,Cumbres Calchaquies,88948.77
857467,0.0,,Inversora Juramento,89608.96
857986,0.0,,Inversora Juramento,76251.88
885839,0.0,,Inversora Juramento,89638.74
893330,0.0,,Inversora Juramento,60469.88
900335,0.0,,Sierra de San Javier,67758.97
918912,0.0,,Inversora Juramento,98576.9
931432,0.0,,Sierra de San Javier,62574.37
931646,0.0,,Sierra de San Javier,59679.82
931647,0.0,,Sierra de San Javier,61008.96
938352,0.0,,Los Palmares,943.68
947965,0.0,,Sierra de San Javier,61162.76
947966,0.0,,Sierra de San Javier,59355.27
950288,0.0,,Sierra de San Javier,76037.12
951632,0.0,,Sierra de San Javier,61102.15
960023,0.0,,Sierra de San Javier,80099.36
960153,0.0,,Sierra de San Javier,58704.57
960154,0.0,,Sierra de San Javier,65586.76
960155,0.0,,Sierra de San Javier,59544.57
960156,0.0,,Sierra de San Javier,52534.48
960295,0.0,,Sierra de San Javier,73838.57
