establecimiento,año,ha_bosque
398302,2000,0.35123407176298255
398302,2001,0.14632906845990348
398302,2002,0.043240590293734685
398302,2003,0.043240590293734685
398302,2004,0.11718817205690871
398302,2005,0.05953408791934743
398302,2006,0.05953408791934743
398302,2007,0.09431484511431526
398302,2008,0.07802134748870251
398302,2009,0.043240590293734685
398302,2010,0.043240590293734685
398302,2011,0.043240590293734685
398302,2012,0.043240590293734685
398302,2013,1.233521746897978
398302,2014,1.0737317444565717
398302,2015,0.043240590293734685
398302,2016,0.043240590293734685
398302,2017,0.11718817205690871
398302,2018,0.043240590293734685
398302,2019,0.043240590293734685
398302,2020,0.13003557083429074
398302,2021,0.6156973982029335
398302,2022,0.20743040582395067
398303,2000,2.819882568718404
398303,2001,1.5002138651290593
398303,2002,0.3027376710181142
398303,2003,0.4588042263375076
398303,2004,0.5835380617388557
398303,2005,0.44629630833046113
398303,2006,0.20841537458831189
398303,2007,0.14103388868144914
398303,2008,0.14103388868144914
398303,2009,0.08556055115942861
398303,2010,0.08556055115942861
398303,2011,0.06518903870825674
398303,2012,0.2438324731205959
398303,2013,0.2168803934733073
398303,2014,0.29586080319872093
398303,2015,0.09590312655579808
398303,2016,0.2369399832452512
398303,2017,0.2369399832452512
398303,2018,0.43282187803979016
398303,2019,0.06863644995595894
398303,2020,0.4162098729511336
398303,2021,2.991075342873966
398303,2022,0.3011889775534238
398305,2000,0.0
398305,2001,0.0
398305,2002,0.0
398305,2003,0.0
398305,2004,0.08370408971449908
398305,2005,0.0
398305,2006,0.0
398305,2007,0.0
398305,2008,0.0
398305,2009,0.0
398305,2010,0.0
398305,2011,0.0
398305,2012,0.0
398305,2013,0.6395544250488281
398305,2014,0.5596104492187499
398305,2015,0.3197773986816406
398305,2016,0.0
398305,2017,0.0
398305,2018,0.0
398305,2019,0.0
398305,2020,0.0
398305,2021,0.22383034155752146
398305,2022,0.0
398307,2000,0.66912426724303
398307,2001,0.47400204754997705
398307,2002,0.48780529945523127
398307,2003,0.7519410278080959
398307,2004,1.4834916053682217
398307,2005,1.3555015162568935
398307,2006,1.8834563366938577
398307,2007,1.3743245753867954
398307,2008,1.3743245753867954
398307,2009,1.5355679500804227
398307,2010,1.1512829808612899
398307,2011,0.81938701037837
398307,2012,1.5669249644320618
398307,2013,3.931277791149661
398307,2014,4.671311550867417
398307,2015,1.449293422827627
398307,2016,1.5788550462670423
398307,2017,1.1243023771876912
398307,2018,1.2218609891285614
398307,2019,1.2328437539493335
398307,2020,1.7372735605516623
398307,2021,2.3856875536151962
398307,2022,2.242951078072342
398308,2000,5.8849210148112014
398308,2001,11.677790674354707
398308,2002,16.499464039761442
398308,2003,12.607905484930313
398308,2004,14.490506098249876
