establecimiento,año,ha_perdida,ha_perdida_2001_2023,ha_perdida_2020_2023
593389,2001,0.0,0.0,0.0
593389,2002,0.0,0.0,0.0
593389,2003,0.0,0.0,0.0
593389,2004,0.0,0.0,0.0
593389,2005,0.0,0.0,0.0
593389,2006,0.0,0.0,0.0
593389,2007,0.0,0.0,0.0
593389,2008,0.0,0.0,0.0
593389,2009,0.0,0.0,0.0
593389,2010,0.0,0.0,0.0
593389,2011,0.0,0.0,0.0
593389,2012,0.0,0.0,0.0
593389,2013,0.0,0.0,0.0
593389,2014,0.0,0.0,0.0
593389,2015,0.0,0.0,0.0
593389,2016,0.0,0.0,0.0
593389,2017,0.0,0.0,0.0
593389,2018,0.0,0.0,0.0
593389,2019,0.0,0.0,0.0
593389,2020,0.0,0.0,0.0
593389,2021,0.0,0.0,0.0
593389,2022,0.0,0.0,0.0
593389,2023,0.0,0.0,0.0
607806,2001,5.788423690137674,10.95,5.0
607806,2002,0.0,10.95,5.0
607806,2003,0.0,10.95,5.0
607806,2004,0.0,10.95,5.0
607806,2005,0.0,10.95,5.0
607806,2006,0.0,10.95,5.0
607806,2007,0.0,10.95,5.0
607806,2008,0.158751220703125,10.95,5.0
607806,2009,0.0,10.95,5.0
607806,2010,0.0,10.95,5.0
607806,2011,0.0,10.95,5.0
607806,2012,0.0,10.95,5.0
607806,2013,0.0,10.95,5.0
607806,2014,0.0,10.95,5.0
607806,2015,0.0,10.95,5.0
607806,2016,0.0,10.95,5.0
607806,2017,0.0,10.95,5.0
607806,2018,0.0,10.95,5.0
607806,2019,0.0,10.95,5.0
607806,2020,0.0,10.95,5.0
607806,2021,0.0,10.95,5.0
607806,2022,0.0,10.95,5.0
607806,2023,5.0006450927734365,10.95,5.0
688105,2001,0.0,0.0,0.0
688105,2002,0.0,0.0,0.0
688105,2003,0.0,0.0,0.0
688105,2004,0.0,0.0,0.0
688105,2005,0.0,0.0,0.0
688105,2006,0.0,0.0,0.0
688105,2007,0.0,0.0,0.0
688105,2008,0.0,0.0,0.0
688105,2009,0.0,0.0,0.0
