establecimiento,año,ha_perdida
427270,2001,0.0
427270,2002,0.0
427270,2003,0.08115986328125
427270,2004,0.2434781921386719
427270,2005,0.32464610595703125
427270,2006,0.0
427270,2007,0.3246426025390625
427270,2008,0.162295947265625
427270,2009,0.0
427270,2010,0.40581015625
427270,2011,0.0
427270,2012,0.081161962890625
427270,2013,0.0
427270,2014,0.08115269775390625
427270,2015,0.0
427270,2016,0.0
427270,2017,17.287284100341807
427270,2018,8.94736850274779
427270,2019,0.0
427270,2020,3.494921800920075
427270,2021,0.0
427270,2022,0.0
427270,2023,0.0
500675,2001,0.2389296142578125
500675,2002,0.0
500675,2003,0.0
500675,2004,0.0
500675,2005,0.15928091430664063
500675,2006,0.0
500675,2007,0.0
500675,2008,0.07964718017578125
500675,2009,0.0
500675,2010,0.0
500675,2011,0.0
500675,2012,0.0
500675,2013,0.0
500675,2014,0.0
500675,2015,0.0
500675,2016,0.0
500675,2017,0.0
500675,2018,0.0
500675,2019,0.0
500675,2020,0.0
500675,2021,0.0
500675,2022,0.0
500675,2023,0.0
642308,2001,0.0
642308,2002,0.0
642308,2003,0.0
642308,2004,0.0
642308,2005,0.0
642308,2006,0.0
642308,2007,3.953686078359566
642308,2008,1.7393987560795803
642308,2009,0.0
642308,2010,0.0
642308,2011,2.85897940298043
642308,2012,0.0062611344401041664
642308,2013,0.28175255091050094
642308,2014,0.0
642308,2015,0.0
642308,2016,0.0
642308,2017,0.0
642308,2018,0.0
642308,2019,0.0
642308,2020,0.0
642308,2021,20.445157893569053
642308,2022,0.0
642308,2023,0.7983178955078125
878847,2001,0.2389296142578125
878847,2002,0.0
878847,2003,0.0
878847,2004,0.0
878847,2005,0.15928091430664063
878847,2006,0.0
878847,2007,0.0
878847,2008,0.0
878847,2009,0.0
878847,2010,0.0
878847,2011,0.0
878847,2012,0.0
878847,2013,0.0
878847,2014,0.0
878847,2015,0.0
878847,2016,0.0
878847,2017,0.0
878847,2018,0.0
878847,2019,0.0
878847,2020,0.0
878847,2021,0.0
878847,2022,0.0
878847,2023,0.0
901000,2001,0.0
901000,2002,0.0
901000,2003,0.0
901000,2004,0.0
901000,2005,0.0
901000,2006,0.0
901000,2007,0.0
901000,2008,0.0
901000,2009,0.0
901000,2010,0.0
901000,2011,0.0
901000,2012,0.0
901000,2013,0.0
901000,2014,0.0
901000,2015,0.0
901000,2016,0.0
901000,2017,0.0
901000,2018,0.0
901000,2019,0.0
901000,2020,0.0
901000,2021,0.0
901000,2022,0.0
901000,2023,0.0
956798,2001,0.2389296142578125
956798,2002,0.0
956798,2003,0.0
956798,2004,0.0
956798,2005,0.15928091430664063
956798,2006,0.0012490583831188727
956798,2007,0.0
956798,2008,0.0
956798,2009,0.0
956798,2010,0.0
956798,2011,0.0
956798,2012,0.0
956798,2013,0.0
956798,2014,0.0
956798,2015,0.0
956798,2016,0.0
956798,2017,0.0
956798,2018,0.0
956798,2019,0.0
956798,2020,0.0
956798,2021,0.0
956798,2022,0.0
956798,2023,0.0
