establecimiento,interseca_wdpa,km2_protegidos_en_poligono,areas_protegidas_intersectadas,wdpa_mas_cercana,distancia_min_km
290102,True,148.0718,Bañados del Río Dulce y Laguna de Mar Chiquita,Bañados del Río Dulce y Laguna de Mar Chiquita,0.0
427270,False,0.0,,Copo,68.889
500675,False,0.0,,Chaco,147.333
607244,True,49.352,Bañados del Río Dulce y Laguna de Mar Chiquita,Bañados del Río Dulce y Laguna de Mar Chiquita,0.0
642308,False,0.0,,Copo,113.721
878847,False,0.0,,Chaco,148.998
901000,False,0.0,,Chaco,148.145
956798,False,0.0,,Isleta Linda,148.077
