establecimiento,año,ha_bosque
427270,2000,620.0558053678312
427270,2001,617.780492282326
427270,2002,618.1659289113421
427270,2003,618.7340409963024
427270,2004,612.003339470308
427270,2005,611.7891088594055
427270,2006,611.1118321253128
427270,2007,617.3782089152203
427270,2008,617.1347231974471
427270,2009,610.2000124639264
427270,2010,605.644836203727
427270,2011,603.6855492416731
427270,2012,601.8933528464095
427270,2013,603.444234438877
427270,2014,603.5165109618358
427270,2015,611.475285415826
427270,2016,611.3827059458266
427270,2017,594.5252180615404
427270,2018,565.145328962612
427270,2019,567.1451971345504
427270,2020,560.9485526621805
427270,2021,563.6673096198534
427270,2022,560.6637147476206
500675,2000,7.280371185781439
500675,2001,6.886497689831305
500675,2002,8.103358803663065
500675,2003,6.815916192220053
500675,2004,7.126986001766429
500675,2005,6.417691442464194
500675,2006,5.947918818957762
500675,2007,6.340539752963199
500675,2008,6.091617646939149
500675,2009,6.7472068048933425
500675,2010,6.756262106263403
500675,2011,6.357086119312961
500675,2012,6.676932637915518
500675,2013,7.238804415737976
500675,2014,6.430178161214192
500675,2015,6.452645951454313
500675,2016,6.3333554496735225
500675,2017,6.519525477270987
500675,2018,6.548881744887408
500675,2019,7.148873164876301
500675,2020,7.235088212005016
500675,2021,5.885166780527156
500675,2022,5.464721290881589
642308,2000,35.5007868672449
642308,2001,36.04709852388265
642308,2002,36.72521518061612
642308,2003,35.60066050048824
642308,2004,35.190539193234855
642308,2005,34.79137276896152
642308,2006,33.67871386804918
642308,2007,31.56705128300684
642308,2008,27.743271058325668
642308,2009,27.961784024682125
642308,2010,29.16894167770085
642308,2011,29.684555054692275
642308,2012,29.372116853027332
642308,2013,27.85439497723747
642308,2014,27.814657312490414
642308,2015,29.3220476504337
642308,2016,28.663684342495777
642308,2017,29.094148749593092
642308,2018,28.27891246392941
642308,2019,28.78483782200233
642308,2020,27.326891305506084
642308,2021,25.2134323943733
642308,2022,24.800838538124253
878847,2000,1.1149640136718748
878847,2001,1.0353238342285154
878847,2002,1.8317642700195313
878847,2003,0.9556830810546874
878847,2004,1.1149638183593749
878847,2005,0.9556832763671873
878847,2006,0.7964027282714843
878847,2007,1.035322686767578
878847,2008,0.6371216125488282
878847,2009,0.8760425231933593
878847,2010,0.9556832763671873
878847,2011,0.876043096923828
878847,2012,0.9556830810546874
878847,2013,1.194603997802734
878847,2014,0.9556830810546874
878847,2015,1.0353236389160154
878847,2016,0.7964027282714843
878847,2017,0.7964027282714843
878847,2018,0.7964027282714843
878847,2019,1.1946036132812499
878847,2020,1.114963439941406
878847,2021,0.5574818176269531
878847,2022,0.9556830810546874
901000,2000,0.0
901000,2001,0.0
901000,2002,0.0
901000,2003,0.0
901000,2004,0.0
901000,2005,0.0
901000,2006,0.0
901000,2007,0.0
901000,2008,0.0
901000,2009,0.0
901000,2010,0.0
901000,2011,0.0
901000,2012,0.0
901000,2013,0.3185823120117187
901000,2014,0.0
901000,2015,0.0
901000,2016,0.0
901000,2017,0.0
901000,2018,0.0
901000,2019,0.0
901000,2020,0.0
901000,2021,0.0
901000,2022,0.0
956798,2000,24.436839527276636
956798,2001,24.957729968285552
956798,2002,25.78790998527968
956798,2003,24.15233616447888
956798,2004,24.804432349470456
956798,2005,24.604537614961412
956798,2006,23.726986267520587
956798,2007,24.064893709190127
956798,2008,23.912458162506613
956798,2009,24.893382237620532
956798,2010,25.10667837395153
956798,2011,24.952102906470106
956798,2012,24.046467086971415
956798,2013,24.663879929701764
956798,2014,25.098580800302447
956798,2015,25.674769797458936
956798,2016,24.922113916877205
956798,2017,23.96682190154422
956798,2018,23.601127642822174
956798,2019,23.661748914675147
956798,2020,21.80608541769579
956798,2021,22.370989424665765
956798,2022,21.827945652381953
