establecimiento,año,ha_perdida
457780,2001,113.61655730097736
457780,2002,33.90541128702798
457780,2003,115.80997244384811
457780,2004,807.2163290705163
457780,2005,0.0
457780,2006,5.293460467529293
457780,2007,1.2345614452406939
457780,2008,0.7111253214518227
457780,2009,0.0801955078125
457780,2010,6.0151027099609395
457780,2011,280.7158066791999
457780,2012,5.934840254384957
457780,2013,0.0
457780,2014,0.0
457780,2015,3.8496203857421882
457780,2016,0.0
457780,2017,0.16040170288085936
457780,2018,0.0
457780,2019,0.0
457780,2020,1.1153990332031252
457780,2021,0.8020825439453126
457780,2022,0.0
457780,2023,0.0
457782,2001,0.0
457782,2002,0.08015621337890624
457782,2003,84.00260188048131
457782,2004,119.57358453328472
457782,2005,28.588545865502372
457782,2006,0.160332177734375
457782,2007,40.52073689501008
457782,2008,2.1417303723623244
457782,2009,2.0040151306152345
457782,2010,0.0
457782,2011,12.986196319580051
457782,2012,66.57457978647294
457782,2013,3.2063911132812493
457782,2014,0.7214594604492188
457782,2015,0.0
457782,2016,0.0
457782,2017,0.24049632568359375
457782,2018,0.0
457782,2019,0.0
457782,2020,0.0
457782,2021,0.0
457782,2022,0.0
457782,2023,0.0
457784,2001,0.0
457784,2002,3.322260908418544
457784,2003,11.576755371045865
457784,2004,64.97821974793652
457784,2005,23.47580912068681
457784,2006,0.08014087524414062
457784,2007,16.806827334654557
457784,2008,164.0509887685991
457784,2009,1.0418400817871094
457784,2010,2.404179553222656
457784,2011,28.229062696916117
457784,2012,34.276555804682566
457784,2013,0.7212913513183594
457784,2014,0.0
457784,2015,0.0
457784,2016,0.0
457784,2017,0.0
457784,2018,0.0
457784,2019,0.0
457784,2020,0.0
457784,2021,0.0
457784,2022,0.0
457784,2023,0.0
629421,2001,42.34117927104863
629421,2002,2.4013135284304146
629421,2003,7.948007731957527
629421,2004,37.92998193464688
629421,2005,1.1011313889208025
629421,2006,1.3136890591490502
629421,2007,15.391601393971156
629421,2008,93.21326568933796
629421,2009,31.693787118350684
629421,2010,88.56440797715116
629421,2011,134.29905171681176
629421,2012,4.328854187011717
629421,2013,0.0
629421,2014,0.4006760986328125
629421,2015,0.9812164031384035
629421,2016,27.347215005433302
629421,2017,3.263918380557791
629421,2018,0.0
629421,2019,57.7078328186036
629421,2020,0.4808374816894532
629421,2021,15.484843995457027
629421,2022,4.727649096679689
629421,2023,178.4606442749032
629442,2001,132.6201416429232
629442,2002,0.0
629442,2003,5.136650933837888
629442,2004,805.4974329383314
629442,2005,165.21373045752443
629442,2006,77.4825718893614
629442,2007,105.0001520678948
629442,2008,22.91195715281761
629442,2009,2.006404492187499
629442,2010,26.326559075927726
629442,2011,834.401686412779
629442,2012,103.59893064230496
