establecimiento,km2_protegidos_dentro,nombres_WDPA_intersectan,wdpa_mas_cercana,distancia_mas_cercana_m
612275,0.0,,Copo,124929.79
801833,0.0,,Copo,111320.75
801834,0.0,,Copo,110855.49
801836,0.0,,Copo,111099.56
833842,0.0,,Copo,91872.43
848277,0.0,,Copo,99176.0
886890,0.0,,Copo,105722.34
896394,0.0,,Copo,94354.75
897054,0.0,,Copo,95555.6
924409,0.0,,Isleta Linda,58146.64
927044,0.0,,Copo,94114.14
927046,0.0,,Copo,127716.53
930914,0.0,,Copo,96600.62
932333,0.0,,Copo,124183.45
935086,0.0,,Pampa del Indio,126371.35
935088,0.0,,Pampa del Indio,126369.75
